annee;cnc_numero;visa;titre;genre;nationalite;distributeur;classification;date_sortie;art_et_essai;etablissements_s1;titre_clean;distributeur_clean
2019;2019000580;;#FEMALE PLEASURE;DOCUMENTAIRE;SUISSE;JUSTE DISTRIBUTION;TP;2019-05-01;NON;17;#female pleasure;juste distribution
2020;2017004800;147956;#JESUISLA;COMEDIE DRAMATIQUE;France;GAUMONT;TP;2020-02-05;NON;447;#jesuisla;gaumont
2011;2011002146;130736;(S)EX LIST;COMEDIE;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2011-10-05;NON;207;(s)ex list;twentieth century fox france inc                                
1998;1998093268;091947;...COMME ELLE RESPIRE;COMEDIE DRAMATIQUE;FRANCE;LES FILMS DU LOSANGE                                            ;TP;1998-04-15;OUI;115;...comme elle respire;les films du losange                                            
2015;2015001217;142645;007 SPECTRE;AVENTURES;GRANDE BRETAGNE;SONY PICTURES RELEASING (FRANCE)                                ;TP;2015-11-11;NON;804;007 spectre;sony pictures releasing (france)                                
2003;2003083335;107985;01;INDETERMINE;FRANCE;EUROPACORP DISTRIBUTION                                         ;TP;2003-06-18;OUI;43;01;europacorp distribution                                         
2007;2007093046;111821;02;INDETERMINE;FRANCE;EUROPACORP DISTRIBUTION                                         ;TP;2007-04-04;OUI;11;02;europacorp distribution                                         
2005;2005073533;111296;1 3 DES YEUX;DOCUMENTAIRE;FRANCE;CAPRICCI FILMS                                                  ;TP;2005-11-09;OUI;2;1 3 des yeux;capricci films                                                  
2004;2004283462;110843;1 DUPLEX POUR 3;COMEDIE;ETATS UNIS;TFM DISTRIBUTION;TP;2004-07-07;NON;125;1 duplex pour 3;tfm distribution
2017;2016004373;145827;1:54;THRILLER;CANADA;ARP MERMOZ;TP;2017-03-15;OUI;72;1:54;arp mermoz
2006;2006993932;116587;10 CANOES, 150 LANCES ET 3 EPOUSES;AVENTURES;AUSTRALIE;MEMENTO FILMS DISTRIBUTION                                      ;TP;2006-12-20;OUI;20;10 canoes, 150 lances et 3 epouses;memento films distribution                                      
2016;2016000425;144039;10 CLOVERFIELD LANE;THRILLER;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TPA;2016-03-16;NON;280;10 cloverfield lane;paramount pictures france                                       
2004;2004093180;107958;10 E CHAMBRE INSTANTS D AUDIENCES;DOCUMENTAIRE;FRANCE;LES FILMS DU LOSANGE                                            ;TP;2004-06-02;OUI;52;10 e chambre instants d audiences;les films du losange                                            
2012;2010002524;127885;10 JOURS EN OR;COMEDIE;FRANCE;METROPOLITAN FILMEXPORT                                         ;TP;2012-01-11;NON;234;10 jours en or;metropolitan filmexport                                         
2023;2021003044;155750;10 JOURS ENCORE SANS MAMAN;COMEDIE;FRANCE;STUDIOCANAL;TP;2023-04-12;NON;666;10 jours encore sans maman;studiocanal
2020;2019003043;151172;10 JOURS SANS MAMAN;COMEDIE;FRANCE;STUDIOCANAL;TP;2020-02-19;NON;580;10 jours sans maman;studiocanal
1997;1997083624;091885;100   ARABICA;COMEDIE;FRANCE / BELGIQUE;EUROZOOM                                                        ;TP;1997-11-05;OUI;59;100 arabica;eurozoom                                                        
2001;2001293460;100930;100 GIRLS;COMEDIE;ETATS UNIS;SAGITTAIRE FILMS;TP;2001-07-04;NON;99;100 girls;sagittaire films
2019;2013003119;138358;100 KILOS D'ETOILES;COMEDIE DRAMATIQUE;FRANCE;BAC FILMS DISTRIBUTION                                          ;TP;2019-07-17;OUI;75;100 kilos d etoiles;bac films distribution                                          
2013;2012002085;134151;100% CACHEMIRE;COMEDIE;FRANCE;WILD BUNCH                                                      ;TP;2013-12-11;NON;429;100% cachemire;wild bunch                                                      
2020;2020002189;153866;100 % LOUP;ANIMATION;AUSTRALIE;ALBA FILMS;TP;2020-10-28;NON;287;100% loup;alba films
2024;2020002493;153557;100.000.000.000.000 (CENT MILLE MILLIARDS);DRAME;FRANCE;UFO DISTRIBUTION;TP;2024-12-04;OUI;16;100.000.000.000.000 (cent mille milliards);ufo distribution
2008;2008293179;119944;10000;AVENTURES;ETATS UNIS;WARNER BROS. ENTERTAINMENT FRANCE                               ;TP;2008-03-12;NON;595;10000;warner bros. entertainment france                               
2015;2015001106;2015001106;10000 KM;COMEDIE DRAMATIQUE;ESPAGNE;;TP;2015-04-29;OUI;9;10000 km;
2015;2013001111;136546;1001 GRAMMES;DRAME;NORVEGE / ALLEMAGNE / FRANCE;LES FILMS DU LOSANGE                                            ;TP;2015-03-11;OUI;29;1001 grammes;les films du losange                                            
1999;1999293068;096235;1001 PATTES;ANIMATION;ETATS UNIS;GAUMONT BUENA VISTA INTERNATIONAL;TP;1999-02-10;NON;687;1001 pattes;gaumont buena vista international
2001;2002983023;103847;101 REYKJAVIK;COMEDIE;ISLANDE;SAGITTAIRE FILMS;12;2001-10-31;OUI;38;101 reykjavik;sagittaire films
2001;2001293032;101317;102 DALMATIENS;COMEDIE;ETATS UNIS;GAUMONT BUENA VISTA INTERNATIONAL;TP;2001-01-31;NON;654;102 dalmatiens;gaumont buena vista international
2022;2022001212;157488;107 MOTHERS;DRAME;SLOVAQUIE;LES ALCHIMISTES;TP;2022-09-14;OUI;39;107 mothers;les alchimistes
2011;2010002834;128210;108 - CUCHILLO DE PALO;DOCUMENTAIRE;ESPAGNE;URBAN DISTRIBUTION                                              ;TP;2011-03-23;OUI;5;108 - cuchillo de palo;urban distribution                                              
2015;2010001767;127042;108 ROIS-DEMONS;ANIMATION;FRANCE / LUXEMBOURG / BELGIQUE / CHINE;GEBEKA FILMS                                                    ;TP;2015-01-21;OUI;101;108 rois-demons;gebeka films                                                    
2016;2014001644;139734;10949 FEMMES;DOCUMENTAIRE;FRANCE;LES FILMS DES DEUX RIVES                                        ;TP;2016-04-27;OUI;8;10949 femmes;les films des deux rives                                        
2002;2002093485;106032;11 09 01 SEPTEMBER 11;INDETERMINE;FRANCE;BAC DISTRIBUTION;TP;2002-09-11;OUI;70;11 09 01 september 11;bac distribution
2012;2010002210;127544;11 FLEURS;DRAME;CHINE / FRANCE;HAUT ET COURT DISTRIBUTION                                      ;TP;2012-05-09;OUI;31;11 fleurs;haut et court distribution                                      
